518   		442   		562   		304   		1012  		
1142  		1130  		7623  		604   		7525  		
3624  		1088  		8892  		2410  		2756  		
775   		1659  		4287  		1043  		629   		
6509  		1529  		2180  		1035  		554   		
2634  		190   		1059  		3428  		608   		
256   		2930  		511   		1509  		773   		
830   		383   		2569  		916   		195   		
2422  		3589  		20364 		867   		575   		
802   		742   		436   		33164 		8455  		
2836  		813   		1272  		485   		6008  		
7711  		481   		1878  		984   		1100  		
7376  		9911  		341   		4214  		453   		
7418  		1301  		2870  		2685  		1354  		
300   		413   		756   		567   		2375  		
6033  		45060 		565   		10309 		45921 		
4620  		579   		871   		1389  		2869  		
990   		734   		1977  		2513  		2735  		
7298  		5324  		902   		595   		645382		
1906  		10759 		610   		1315  		1759  		
919   		11145 		397   		2956  		1116  		
497   		26425 		1098  		269   		724   		
308   		211   		466   		472   		795   		
1274  		571   		1122  		6674  		1069  		
1499  		15782 		2636  		2150  		5364  		
8940  		809   		651   		3481  		146   		
4528  		711   		510   		951   		3214  		
209   		5247  		7950  		2971  		432   		
1737  		165   		8518  		2110  		9690  		
393   		9855  		476   		370   		3160  		
1356  		5445  		669   		1494  		10313 		
5037  		557   		237   		444   		885   		
21157 		827   		292   		2910  		3327  		
1002  		555   		419   		1528  		3585  		
335   		2038  		475   		374   		728   		
4508  		3245  		9957  		4937  		4992  		
8734  		947   		7145  		3889  		876   		
11201 		5561  		4168  		6090  		14209 		
2095  		3055  		4807  		2712  		633   		
344   		4801  		674   		558   		356   		
2258  		650   		3962  		3333  		375   		
2211  		373   		19541 		536   		1360  		
562   		10785 		1562  		1479  		881   		
1189  		3065  		814   		1503  		428   		
3969  		5040  		742   		1500  		1418  		
152   		3382  		671   		455   		418   		
239   		289   		1701  		2560  		455   		
1128  		4696  		968   		11369 		1971  		
1568  		3425  		48249 		892   		12362 		
332   		1137  		3079  		1481  		929   		
1048  		375   		2752  		1358  		1607  		
232   		8521  		5436  		2158  		1880  		
1150  		1744  		2450  		2101  		293   		
1556  		18918 		30937 		1164  		1806  		
425   		454   		9058  		1675  		926   		
1543  		2003  		1420  		299   		5320  		
479   		552   		31754 		9211  		432   		
386   		3473  		604   		691   		1653  		
3591  		31709 		4909  		707   		565   		
3984  		4100  		877   		672   		4594  		
807   		286   		3740  		5864  		533   		
4810  		611   		2039  		10735 		4692  		
3362  		899   		2169  		466   		4261  		
11725 		290   		681   		2443  		870   		
732   		2478  		1506  		2768  		1823  		
1752  		1306  		1662  		431   		9482  		
1324  		3769  		4207  		2300  		835   		
2296  		749   		1958  		672   		645   		
921   		1590  		303   		2929  		942   		
4493  		1900  		863   		1058  		246   		
2579  		1515  		1989  		1372  		637   		
2768  		1334  		18132 		708   		2370  		
490   		984   		541   		626   		857   		
1720  		2223  		3131  		1168  		1537  		
12784 		16719 		4130  		2553  		932   		
9359  		2000  		455   		746   		2572  		
29685 		1340  		1032  		2463  		1685  		
3557  		7323  		3570  		3679  		4258  		
1238  		429   		3609  		1248  		4785  		
6176  		827   		905   		5907  		2220  		
723   		528   		634   		2260  		631   		
1711  		754   		30511 		58968 		343   		
3460  		3652  		4184  		4159  		1043  		
930   		1472  		907   		1611  		41991 		
1110  		553   		1839  		439   		3508  		
1553  		2863  		1230  		3246  		693   		
561   		4297  		447   		5334  		201   		
1302  		672   		1833  		797   		6443  		
283   		1569  		679   		531   		6140  		
339   		598   		17920 		1653  		75620 		
3283  		3661  		1636  		1420  		5886  		
1123  		1260  		297   		2438  		497   		
1334  		736   		1471  		41379 		1672  		
404   		60931 		1088  		3017  		5986  		
1369  		2392  		3174  		1066  		7856  		
231   		4563  		5542  		284   		1045  		
4036  		5366  		9860  		5454  		348   		
1673  		14819 		630   		3707  		486   		
442   		2251  		3381  		840   		22181 		
1135  		2237  		3104  		4758  		1210  		
3213  		2800  		390   		1371  		1413  		
8661  		778   		3240  		4323  		2364  		
6857  		15286 		411   		776   		2986  		
850   		3014  		695   		2489  		13703 		
32112 		2294  		2763  		638   		18657 		
1536  		1248  		2141  		553   		5052  		
